"WineID";"Color";"Type";"Varietal";"Producer";"Description";"Country";"Region";"SubRegion";"subappellation";"Name";"created_at"
10119;"Red";"Table";"Tempranillo";"Artadi";"Rioja Pagos Viejos Reserva";"Spain";"Rioja";"";"";"Artadi Rioja Pagos Viejos Reserva";"2021-08-04 14:52:46"
1012;"Red";"Table";"Pinot Noir";"Domaine Lecheneaut";"Morey St Denis";"France";"Burgundy";"Cote de Nuits";"";"Domaine Lecheneaut Morey St Denis";"2021-08-04 14:52:46"
10120;"White";"Table";"Verdejo";"Belondrade y Lurton";"Verdejo";"Spain";"Rueda";"";"";"Belondrade y Lurton Verdejo Rueda";"2021-08-04 14:52:46"
10125;"Red";"Table";"Proprietary Blend";"Cellers Fuentes";"Gran Clos";"Spain";"Priorat";"";"";"Cellers Fuentes Gran Clos";"2021-08-04 14:52:46"
10138;"White";"Table";"Albarino";"Pazo de Senorans";"Albarino";"Spain";"Galicia";"Rias Baixas";"";"Pazo de Senorans Albarino";"2021-08-04 14:52:46"
1014;"White";"Table";"Bordeaux Blanc";"Laville-Haut-Brion";"Blanc";"France";"Bordeaux";"Graves";"";"Laville-Haut-Brion Blanc";"2021-08-04 14:52:46"
10149;"White";"Table";"Aligote";"Domaine D'Auvenay";"Puligny Montrachet Les Enseignieres 3-Pack";"France";"Burgundy";"Cote de Beaune";"Les Enseignieres";"Domaine D'Auvenay Puligny Montrachet Les Enseignieres 3-Pack OWC";"2021-08-04 14:52:46"
10150;"White";"Table";"Chardonnay";"Domaine D'Auvenay";"Chevalier Montrachet";"France";"Burgundy";"Cote de Beaune";"Chevalier Montrachet";"Domaine D'Auvenay Chevalier Montrachet";"2021-08-04 14:52:46"
10151;"White";"Table";"Chardonnay";"Domaine D'Auvenay";"Criots Batard Montrachet";"France";"Burgundy";"Cote de Beaune";"Criots Batard Montrachet";"Domaine D'Auvenay Criots Batard Montrachet";"2021-08-04 14:52:46"
10152;"White";"Table";"Chardonnay";"Domaine D'Auvenay";"Meursault Goutte d'Or";"France";"Burgundy";"Cote de Beaune";"Les Gouttes d'Or";"Domaine D'Auvenay Meursault Goutte d'Or";"2021-08-04 14:52:46"
10155;"White";"Table";"Chardonnay";"Domaine Bitouzet Prieur";"Meursault";"France";"Burgundy";"Cote de Beaune";"";"Domaine Bitouzet Prieur Meursault";"2021-08-04 14:52:46"
1016;"Red";"Table";"Cabernet Sauvignon";"Laurel Glen";"Cabernet Sauvignon Sonoma Mountain";"USA";"California";"North Coast";"Sonoma Mountain";"Laurel Glen Cabernet Sauvignon Sonoma Mountain";"2021-08-04 14:52:46"
10166;"White";"Table";"Chardonnay";"Domaine Bonneau du Martray";"Corton Charlemagne";"France";"Burgundy";"Cote de Beaune";"Corton Charlemagne";"Domaine Bonneau du Martray Corton Charlemagne";"2021-08-04 14:52:46"
1017;"White";"Table";"Bordeaux Blanc";"Launay, Chateau";"";"France";"Bordeaux";"Entre Deux Mers";"";"Launay, Chateau";"2021-08-04 14:52:46"
10173;"White";"Table";"Chardonnay";"Chandon de Briailles";"Corton";"France";"Burgundy";"Cote de Beaune";"Le Corton";"Chandon de Briailles Corton";"2021-08-04 14:52:46"
10174;"White";"Table";"Chardonnay";"Chandon de Briailles";"Corton Charlemagne";"France";"Burgundy";"Cote de Beaune";"Corton Charlemagne";"Chandon de Briailles Corton Charlemagne";"2021-08-04 14:52:46"
10175;"White";"Table";"Chardonnay";"Chandon de Briailles";"Pernand Vergelesses Ile de Vergelesses";"France";"Burgundy";"Cote de Beaune";"Ile des Vergelesses";"Chandon de Briailles Pernand Vergelesses Ile de Vergelesses";"2021-08-04 14:52:46"
10177;"White";"Table";"Chardonnay";"Marc Colin";"Chassagne Montrachet";"France";"Burgundy";"Cote de Beaune";"";"Marc Colin Chassagne Montrachet";"2021-08-04 14:52:46"
10179;"White";"Table";"Chardonnay";"Marc Colin";"Chassagne Montrachet les Champs Gain";"France";"Burgundy";"Cote de Beaune";"Champ Gain";"Marc Colin Chassagne Montrachet les Champs Gain";"2021-08-04 14:52:46"
1018;"White";"Table";"Chardonnay";"Domaine Louis Latour";"Puligny Montrachet les Referts";"France";"Burgundy";"Cote de Beaune";"Les Referts";"Domaine Louis Latour Puligny Montrachet les Referts";"2021-08-04 14:52:46"
10182;"White";"Table";"Chardonnay";"Marc Colin";"Puligny Montrachet le Trezin";"France";"Burgundy";"Cote de Beaune";"Le Trezin";"Marc Colin Puligny Montrachet le Trezin";"2021-08-04 14:52:46"
1019;"White";"Table";"Chardonnay";"Domaine Louis Latour";"Puligny Montrachet les Folatieres";"France";"Burgundy";"Cote de Beaune";"Les Folatieres";"Domaine Louis Latour Puligny Montrachet les Folatieres";"2021-08-04 14:52:46"
10199;"White";"Table";"Chardonnay";"Druid (Domaine Dujac)";"Meursault le Limozin";"France";"Burgundy";"Cote de Beaune";"Le Limozin";"Druid (Domaine Dujac) Meursault le Limozin";"2021-08-04 14:52:46"
102;"White";"Table";"Chardonnay";"Los Vascos";"Chardonnay";"Chile";"Rapel Valley";"Colchagua";"";"Los Vascos Chardonnay";"2021-08-04 14:52:46"
1020;"White";"Table";"Chardonnay";"Domaine Louis Latour";"Puligny Montrachet";"France";"Burgundy";"Cote de Beaune";"";"Domaine Louis Latour Puligny Montrachet";"2021-08-04 14:52:46"
10207;"White";"Table";"Chardonnay";"Guffens-Heynen";"Macon Pierreclos";"France";"Burgundy";"Maconnais";"Pierreclos";"Guffens-Heynen Macon Pierreclos";"2021-08-04 14:52:46"
10209;"White";"Table";"Chardonnay";"Domaine Guillemot-Michel";"Vire-Clesse Quintaine";"France";"Burgundy";"Maconnais";"Clesse";"Domaine Guillemot-Michel Vire-Clesse Quintaine";"2021-08-04 14:52:46"
1021;"White";"Table";"Chardonnay";"Domaine Louis Latour";"Pouilly Fuisse";"France";"Burgundy";"Maconnais";"";"Domaine Louis Latour Pouilly Fuisse";"2021-08-04 14:52:46"
10211;"White";"Table";"Chardonnay";"Domaine Antonin Guyon";"Corton Charlemagne";"France";"Burgundy";"Cote de Beaune";"Corton Charlemagne";"Domaine Antonin Guyon Corton Charlemagne";"2021-08-04 14:52:46"
10212;"White";"Table";"Chardonnay";"Domaine Antonin Guyon";"Meursault Charmes du Dessus";"France";"Burgundy";"Cote de Beaune";"Les Charmes";"Domaine Antonin Guyon Meursault Charmes du Dessus";"2021-08-04 14:52:46"
10214;"White";"Table";"Chardonnay";"Domaine Laboure Roi";"Corton Charlemagne";"France";"Burgundy";"Cote de Beaune";"Corton Charlemagne";"Domaine Laboure Roi Corton Charlemagne";"2021-08-04 14:52:46"
10216;"White";"Table";"Chardonnay";"Domaine Laboure Roi";"Meursault Clos de la Baronne Domaine Rene Manuel";"France";"Burgundy";"Cote de Beaune";"";"Domaine Laboure Roi Meursault Clos de la Baronne Domaine Rene Manuel";"2021-08-04 14:52:46"
10218;"White";"Table";"Chardonnay";"Latour Giraud";"Meursault Cuvee Charles Maxime";"France";"Burgundy";"Cote de Beaune";"";"Latour Giraud Meursault Cuvee Charles Maxime";"2021-08-04 14:52:46"
10219;"White";"Table";"Chardonnay";"Latour Giraud";"Meursault Charmes";"France";"Burgundy";"Cote de Beaune";"Les Charmes";"Latour Giraud Meursault Charmes";"2021-08-04 14:52:46"
1022;"White";"Table";"Chardonnay";"Domaine Louis Latour";"Montrachet";"France";"Burgundy";"Cote de Beaune";"Montrachet";"Domaine Louis Latour Montrachet";"2021-08-04 14:52:46"
10229;"White";"Table";"Chardonnay";"Jacques Prieur";"Beaune Clos de la Feguine";"France";"Burgundy";"Beaune";"";"Jacques Prieur Beaune Clos de la Feguine";"2021-08-04 14:52:46"
10230;"White";"Table";"Chardonnay";"Jacques Prieur";"Beaune Champs Pimont";"France";"Burgundy";"Beaune";"";"Jacques Prieur Beaune Champs Pimont";"2021-08-04 14:52:46"
10233;"White";"Table";"Chardonnay";"Domaine Roland Rapet";"Pernand Vergelesses";"France";"Burgundy";"Cote de Beaune";"";"Domaine Roland Rapet Pernand Vergelesses";"2021-08-04 14:52:46"
10235;"White";"Table";"Chardonnay";"Robert Denogent";"Pouilly Fuisse les Carrons Vieilles Vignes";"France";"Burgundy";"Maconnais";"";"Robert Denogent Pouilly Fuisse les Carrons Vieilles Vignes";"2021-08-04 14:52:46"
1024;"White";"Table";"Chardonnay";"Domaine Louis Latour";"Meursault les Perrieres";"France";"Burgundy";"Cote de Beaune";"Les Perrieres";"Domaine Louis Latour Meursault les Perrieres";"2021-08-04 14:52:46"
10243;"Red";"Table";"Cabernet Sauvignon";"Fox Creek";"Cabernet Sauvignon Reserve";"Australia";"South Australia";"McLaren Vale";"";"Fox Creek Cabernet Sauvignon Reserve";"2021-08-04 14:52:46"
10244;"Red";"Table";"Syrah";"Fox Creek";"Shiraz Reserve";"Australia";"South Australia";"McLaren Vale";"";"Fox Creek Shiraz Reserve";"2021-08-04 14:52:46"
10245;"Red";"Sparkling";"Syrah";"Fox Creek";"Vixen Sparkling Shiraz";"Australia";"South Australia";"McLaren Vale";"";"Fox Creek Vixen Sparkling Shiraz";"2021-08-04 14:52:46"
10248;"Red";"Sparkling";"Syrah";"Galah";"Sparkling Shiraz";"Australia";"South Australia";"Clare Valley";"";"Galah Sparkling Shiraz";"2021-08-04 14:52:46"
10249;"White";"Table";"Chardonnay";"Giaconda";"Chardonnay";"Australia";"Victoria";"Beechworth";"";"Giaconda Chardonnay";"2021-08-04 14:52:46"
1025;"White";"Table";"Chardonnay";"Domaine Louis Latour";"Meursault les Genevrieres";"France";"Burgundy";"Cote de Beaune";"Les Genevieres";"Domaine Louis Latour Meursault les Genevrieres";"2021-08-04 14:52:46"
10250;"Red";"Table";"Pinot Noir";"Giaconda";"Pinot Noir";"Australia";"Victoria";"Beechworth";"";"Giaconda Pinot Noir";"2021-08-04 14:52:46"
10251;"Red";"Table";"Cabernet Sauvignon";"Greenock Creek";"Cabernet Sauvignon";"Australia";"South Australia";"Barossa Valley";"";"Greenock Creek Cabernet Sauvignon";"2021-08-04 14:52:46"
10252;"Red";"Table";"Grenache";"Greenock Creek";"Grenache Cornerstone";"Australia";"South Australia";"Barossa Valley";"";"Greenock Creek Grenache Cornerstone";"2021-08-04 14:52:46"
10253;"Red";"Table";"Syrah";"Greenock Creek";"Shiraz Creek Block";"Australia";"South Australia";"Barossa Valley";"";"Greenock Creek Shiraz Creek Block";"2021-08-04 14:52:46"
10254;"Red";"Table";"Syrah";"Greenock Creek";"Shiraz Seven Acre";"Australia";"South Australia";"Barossa Valley";"";"Greenock Creek Shiraz Seven Acre";"2021-08-04 14:52:46"
10256;"White";"Table";"Chardonnay";"Jones, Trevor";"Chardonnay Virgin";"Australia";"Southeast Australia";"";"";"Jones, Trevor Chardonnay Virgin";"2021-08-04 14:52:46"
10259;"Red";"Table";"Grenache";"Magpie Estate, The";"Grenache The Fakir";"Australia";"South Australia";"Barossa Valley";"";"Magpie Estate, The Grenache The Fakir";"2021-08-04 14:52:46"
1026;"White";"Table";"Chardonnay";"Domaine Louis Latour";"Meursault Chateau de Blagny";"France";"Burgundy";"Cote de Beaune";"Sous Blagny";"Domaine Louis Latour Meursault Chateau de Blagny";"2021-08-04 14:52:46"
10261;"Red";"Table";"Syrah";"The Magpie Estate";"Shiraz The Malcolm";"Australia";"South Australia";"Barossa Valley";"";"The Magpie Estate Shiraz The Malcolm";"2021-08-04 14:52:46"
10262;"Red";"Table";"Cabernet Sauvignon";"Majella";"Cabernet Sauvignon";"Australia";"South Australia";"Coonawarra";"";"Majella Cabernet Sauvignon";"2021-08-04 14:52:46"
